address,number,open,available,free,total,ticket,updated_at,geo_shape,geo_point_2d,update_jcd
"Barcas, 11",40,T,0,26,26,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3748243837183276, 39.470466319701956], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3748243837183276, 'lat': 39.470466319701956}",2025-06-14T11:58:02+00:00
Plaza del Musico López Chavarri,3,T,5,15,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3802883976424855, 39.4768353435743], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3802883976424855, 'lat': 39.4768353435743}",2025-06-14T11:58:13+00:00
Juan Verdeguer - Toneleros,67,T,3,11,14,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.33679826304022287, 39.45886026320377], 'type': 'Point'}, 'properties': {}}","{'lon': -0.33679826304022287, 'lat': 39.45886026320377}",2025-06-14T11:54:39+00:00
Av. Puerto - Plaza Tribunal de les Aigües,71,T,1,18,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.33353125122308164, 39.46038026686525], 'type': 'Point'}, 'properties': {}}","{'lon': -0.33353125122308164, 'lat': 39.46038026686525}",2025-06-14T12:01:53+00:00
Jerónimo Monsoriu - Industria,73,T,9,11,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3428792786496773, 39.4662592905475], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3428792786496773, 'lat': 39.4662592905475}",2025-06-14T12:00:43+00:00
Micer Mascó - Rodriguez Fornos,81,T,5,15,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36097833354659675, 39.47512832851177], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36097833354659675, 'lat': 39.47512832851177}",2025-06-14T12:00:23+00:00
General Elio - Llano del Real,83,T,16,9,25,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3669703519914759, 39.47758533929587], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3669703519914759, 'lat': 39.47758533929587}",2025-06-14T12:00:39+00:00
"Serrería, 67",84,T,8,7,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.33522597686590844, 39.467123092394516], 'type': 'Point'}, 'properties': {}}","{'lon': -0.33522597686590844, 'lat': 39.467123092394516}",2025-06-14T12:01:37+00:00
Gaspar Aguilar - Vicente Parra,86,T,1,19,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39119345191575566, 39.4552402764855], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39119345191575566, 'lat': 39.4552402764855}",2025-06-14T11:53:15+00:00
Salvador Giner - C. Museo,2,T,3,12,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3797483936090024, 39.479889353348874], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3797483936090024, 'lat': 39.479889353348874}",2025-06-14T11:59:36+00:00
Conde Altea - Almirante Cadarso,32,T,7,13,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3682473649948816, 39.46600630156446], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3682473649948816, 'lat': 39.46600630156446}",2025-06-14T11:53:16+00:00
Blasco Ibañez - Clariano,94,T,5,15,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.35158330144926053, 39.47537832465668], 'type': 'Point'}, 'properties': {}}","{'lon': -0.35158330144926053, 'lat': 39.47537832465668}",2025-06-14T12:01:54+00:00
Blasco Ibañez - Yecla,96,T,4,17,21,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3482142912637639, 39.47355431688417], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3482142912637639, 'lat': 39.47355431688417}",2025-06-14T12:01:03+00:00
Blasco Ibañez 121,97,T,3,20,23,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3431322739648798, 39.47306831276613], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3431322739648798, 'lat': 39.47306831276613}",2025-06-14T11:54:30+00:00
Ramón Llull - Serpis,102,T,3,17,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.346720283882565, 39.47583332394092], 'type': 'Point'}, 'properties': {}}","{'lon': -0.346720283882565, 'lat': 39.47583332394092}",2025-06-14T12:00:45+00:00
Albalat dels Tarongers - Paseo Facultades,104,T,13,7,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3472752845405608, 39.478386332978474], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3472752845405608, 'lat': 39.478386332978474}",2025-06-14T12:01:14+00:00
Manuel Broseta i Pont - Naranjos,112,T,4,15,40,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.34227526701990957, 39.47858033137406], 'type': 'Point'}, 'properties': {}}","{'lon': -0.34227526701990957, 'lat': 39.47858033137406}",2025-06-14T12:00:58+00:00
Doctor Vicente Zaragozá - Ramón Asensio,116,T,12,3,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3575613154471814, 39.48325335356676], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3575613154471814, 'lat': 39.48325335356676}",2025-06-14T11:56:05+00:00
Luís Peixó 20,108,T,0,15,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3339152679031098, 39.47382619077011], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3339152679031098, 'lat': 39.47382619077011}",2025-06-14T11:56:03+00:00
Jaime Roig - Bachiller,119,T,2,17,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36322633473676447, 39.48252035422283], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36322633473676447, 'lat': 39.48252035422283}",2025-06-14T11:56:47+00:00
UPV Caminos,113,T,37,1,38,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3436112694462359, 39.48127634089521], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3436112694462359, 'lat': 39.48127634089521}",2025-06-14T11:52:05+00:00
Francisco Cubells - San José de la Vega,159,T,5,12,17,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3347222532485526, 39.463449276866356], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3347222532485526, 'lat': 39.463449276866356}",2025-06-14T11:57:20+00:00
"Masquefa, 42 - 44",125,T,14,1,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3586183142345537, 39.489693375775445], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3586183142345537, 'lat': 39.489693375775445}",2025-06-14T11:52:00+00:00
Pío XII - Monestir de Poblet,173,T,10,10,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.394678441209281, 39.484541375368174], 'type': 'Point'}, 'properties': {}}","{'lon': -0.394678441209281, 'lat': 39.484541375368174}",2025-06-14T12:00:15+00:00
Don Vicente Guillot - Progreso,166,T,1,14,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.32881122495787873, 39.47334930757559], 'type': 'Point'}, 'properties': {}}","{'lon': -0.32881122495787873, 'lat': 39.47334930757559}",2025-06-14T11:56:24+00:00
Pescadores - Progreso,154,T,1,14,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3295542305651281, 39.469876296228996], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3295542305651281, 'lat': 39.469876296228996}",2025-06-14T11:58:57+00:00
Gascó Oliag - Primado Reig,117,T,13,16,30,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.357065317141581, 39.47925133992885], 'type': 'Point'}, 'properties': {}}","{'lon': -0.357065317141581, 'lat': 39.47925133992885}",2025-06-14T11:56:17+00:00
Marino Blas de Lezo (estación Cabañal Adif),101,T,26,4,30,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3348422811122132, 39.47022899172744], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3348422811122132, 'lat': 39.47022899172744}",2025-06-14T11:58:52+00:00
José María de Haro - Justo y Pastor,160,T,13,7,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.33898126470999496, 39.467336291769534], 'type': 'Point'}, 'properties': {}}","{'lon': -0.33898126470999496, 'lat': 39.467336291769534}",2025-06-14T12:00:37+00:00
Maximiliano Thous - Luz Casanova,134,T,17,3,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37333936513208965, 39.48765637635625], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37333936513208965, 'lat': 39.48765637635625}",2025-06-14T12:01:26+00:00
Gregorio Gea - Profesor Beltrán Báguena,142,T,5,20,25,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38965942617943544, 39.48192036501599], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38965942617943544, 'lat': 39.48192036501599}",2025-06-14T11:59:18+00:00
Salamanca - Reina Doña Germana,155,T,2,15,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3630783484267159, 39.46495329574819], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3630783484267159, 'lat': 39.46495329574819}",2025-06-14T12:00:16+00:00
Pérez Galdós - Marqués de Zenete,157,T,1,19,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38736643250783204, 39.46405230416093], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38736643250783204, 'lat': 39.46405230416093}",2025-06-14T11:56:19+00:00
Almazora - Benimuslem,129,T,11,9,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3699453557741905, 39.485975369089516], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3699453557741905, 'lat': 39.485975369089516}",2025-06-14T11:56:45+00:00
Alfambra - Poeta Monmeneu,133,T,2,13,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37588237827023757, 39.48275636079257], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37588237827023757, 'lat': 39.48275636079257}",2025-06-14T12:00:45+00:00
Peris y Valero - Salamanca,149,T,0,19,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36179534600499663, 39.462934287947085], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36179534600499663, 'lat': 39.462934287947085}",2025-06-14T12:00:38+00:00
Reina Violante - Escultor García Mas,203,T,1,14,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40118246297404103, 39.48460937883364], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40118246297404103, 'lat': 39.48460937883364}",2025-06-14T12:00:05+00:00
Juan XXIII - Domingo Gómez,175,T,13,2,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38271239433339566, 39.49258939642365], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38271239433339566, 'lat': 39.49258939642365}",2025-06-14T11:52:58+00:00
"Zapadores, 23",181,T,0,15,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3681913713233589, 39.45799927509706], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3681913713233589, 'lat': 39.45799927509706}",2025-06-14T11:59:06+00:00
Hospital Nueva Fe (administración),189,T,1,29,30,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37706532415787625, 39.44477922701873], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37706532415787625, 'lat': 39.44477922701873}",2025-06-14T11:56:01+00:00
Uruguay - Carteros,193,T,11,8,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.386718436578698, 39.45514627443484], 'type': 'Point'}, 'properties': {}}","{'lon': -0.386718436578698, 'lat': 39.45514627443484}",2025-06-14T12:00:17+00:00
Bombero Ramón Duart - Hermanos Maristas,184,T,7,8,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36557036636455215, 39.45278225629358], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36557036636455215, 'lat': 39.45278225629358}",2025-06-14T12:01:19+00:00
Cra. Malilla - Bulevar Sur,190,T,5,13,18,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38029642271654757, 39.44608224133691], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38029642271654757, 'lat': 39.44608224133691}",2025-06-14T11:58:09+00:00
Doctor Tomás Sala - Carteros,254,T,6,13,19,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3899174536874086, 39.447714251158565], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3899174536874086, 'lat': 39.447714251158565}",2025-06-14T12:01:13+00:00
Ninot - Regino Mas,270,T,0,16,16,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39288942312141745, 39.50007542649037], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39288942312141745, 'lat': 39.50007542649037}",2025-06-14T11:57:52+00:00
Vicente la Roda - Ingeniero Fausto Elio,272,T,10,5,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.33219023115385166, 39.48062333339468], 'type': 'Point'}, 'properties': {}}","{'lon': -0.33219023115385166, 'lat': 39.48062333339468}",2025-06-14T11:59:34+00:00
Av. del Cid - Marconi,264,T,4,16,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4144325204450301, 39.46916033373618], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4144325204450301, 'lat': 39.46916033373618}",2025-06-14T12:01:57+00:00
San Francisco de Paula - Castell de Pop,274,T,13,2,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3331882593063431, 39.44807022576504], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3331882593063431, 'lat': 39.44807022576504}",2025-06-14T12:01:50+00:00
Veles e Vents,276,T,20,0,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.32376521655842594, 39.46197526682713], 'type': 'Point'}, 'properties': {}}","{'lon': -0.32376521655842594, 'lat': 39.46197526682713}",2025-06-14T11:55:31+00:00
Periodista Gil Sumbiela - Poeta Serrano Clavero,206,T,15,0,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38900741524280136, 39.49271239990425], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38900741524280136, 'lat': 39.49271239990425}",2025-06-14T11:53:44+00:00
Levante U.D. - Ecuador,237,T,6,9,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39103842063587124, 39.494758407776374], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39103842063587124, 'lat': 39.494758407776374}",2025-06-14T11:53:53+00:00
Manuel de Falla - Hernández Lázaro,221,T,8,12,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4028534760386356, 39.475270348637764], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4028534760386356, 'lat': 39.475270348637764}",2025-06-14T11:59:14+00:00
San Vicente Paul - Santiago Rusiñol,232,T,12,3,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36575333473149996, 39.49464439592328], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36575333473149996, 'lat': 39.49464439592328}",2025-06-14T11:59:22+00:00
Tres Cruces - Hospital General,246,T,0,20,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4065094941412157, 39.469090330003425], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4065094941412157, 'lat': 39.469090330003425}",2025-06-14T11:53:31+00:00
"Campamento, 81",269,T,2,13,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.42626353678444817, 39.49990744160243], 'type': 'Point'}, 'properties': {}}","{'lon': -0.42626353678444817, 'lat': 39.49990744160243}",2025-06-14T11:59:11+00:00
Arquitecto Segura del Lago - Camino Nuevo de Picaña,251,T,13,2,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4044134972721287, 39.45583028505104], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4044134972721287, 'lat': 39.45583028505104}",2025-06-14T11:58:11+00:00
Moreras - Rona de Nazaret,275,T,8,12,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3350652633218127, 39.45230524022502], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3350652633218127, 'lat': 39.45230524022502}",2025-06-14T11:52:35+00:00
Albacete - Maluquer,243,T,4,13,18,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3845424236611566, 39.46282029901061], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3845424236611566, 'lat': 39.46282029901061}",2025-06-14T12:01:19+00:00
Nicasio Benlloch - Amics dels Corpus,205,T,11,13,24,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3930904323547156, 39.48928739053543], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3930904323547156, 'lat': 39.48928739053543}",2025-06-14T11:59:59+00:00
Gaspar Aguilar - Músico Penella,209,T,12,6,18,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39301546105732643, 39.45208226727133], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39301546105732643, 'lat': 39.45208226727133}",2025-06-14T11:56:08+00:00
Fray Junípero Serra - Vall d'Uixó,211,T,4,11,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3977574716661004, 39.45872629171394], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3977574716661004, 'lat': 39.45872629171394}",2025-06-14T11:58:12+00:00
Músico Ayllón - Francisco Dolz,215,T,7,8,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39674846254882856, 39.46567131414367], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39674846254882856, 'lat': 39.46567131414367}",2025-06-14T11:52:11+00:00
Pintor Stolz - Nueve de Octubre,217,T,0,25,25,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40459648652865626, 39.47032833321364], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40459648652865626, 'lat': 39.47032833321364}",2025-06-14T11:55:16+00:00
Pio IX - Músico Cabanilles,259,T,18,2,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3930154660803912, 39.44546024514969], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3930154660803912, 'lat': 39.44546024514969}",2025-06-14T11:56:57+00:00
La Safor - Maestro Rodrigo,242,T,4,11,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4041974712326189, 39.487907391410516], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4041974712326189, 'lat': 39.487907391410516}",2025-06-14T12:00:11+00:00
Padre Barranco - Carlos Ruano Llopis (Pintor),225,T,6,14,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40114246019172434, 39.488107390420495], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40114246019172434, 'lat': 39.488107390420495}",2025-06-14T11:52:10+00:00
San Clemente - Hospital Arnau de Vilanova,227,T,2,18,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40293146422681364, 39.49024839844318], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40293146422681364, 'lat': 39.49024839844318}",2025-06-14T11:53:35+00:00
Aitana - Florista,229,T,2,14,16,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39480643424749534, 39.493104403991694], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39480643424749534, 'lat': 39.493104403991694}",2025-06-14T11:56:24+00:00
Conde Torrefiel - Cecilio Plá,235,T,4,11,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3772033703255944, 39.49804541205544], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3772033703255944, 'lat': 39.49804541205544}",2025-06-14T11:52:53+00:00
